PJB ID,Document Body
891,"<p>Students for a Democratic Society</p><p>Box 31</p><p>2305 Sheridan Road</p><p>Evanston, Illinois</p><p>March 3, 1967</p><p>Rep. Julian Bond</p><p>House of Representatives</p><p>Atlanta, Georgia</p><p>Dear Rep. Bond,</p><p>To increase our understanding of the day's events, the Northwestern University chapter of Students for a Democratic Society will sponsor a Viet Nam Teach-In on April 13 as its part in the national Week of Mobilization, April 8-15.</p><p>In view of your commitment to democratic ideals and world peace, we invite you to speak.  If you are able to attend, please reply by March 27; the date for the Teach-In is only a little more than a month away and a program and publicity have still to be arranged.</p><p>We hope you will be able to attend.  If transportation or housing will be a problem, please contact us as soon as possible.</p><p>Yours truly,</p><p>M. Steven Lubet</p><p>President, NUSDS</p><p><sup>(I have a previous committment)</sup></p><p>Thanks to FromThePage transcription contributors: Greg14 Sarah Ahmad</p>"
PJB 1028,"<p>GEORGIA EDUCATIONAL IMPROVEMENT COUNCIL</p><p>705 HARTFORD BUILDING. 100 EDGEWOOD AVENUE, N.E. - ATLANTA, GEORGIA  30303</p><p>April 25, 1967</p><p>Honorable Julian Bond</p><p>823 Drummond St., S.W.</p><p>Atlanta, Ga.</p><p>Dear Mr. Bond:</p><p>The Georgia Educational Improvement Council was asked to develop a publication that would include basic information about each college in the state as well as each vocational-technical school.</p><p>We are mailing you a copy of the <u>Directory of Educational Opportunities - 1966-67</u> under separate cover. Your high school guidance counselor will also receive a copy.</p><p>If you would like additional copies for other leaders in your communities, we will mail them to you at your request.</p><p>Yours sincerely,</p><p>[signed] Mac</p><p>Mac Barber</p><p>[signed] Walstein Parker</p><p>Walstein Parker</p><p>MB:rst</p><p>[The following is the content of the typewritten draft response:]</p><p>Dear Sirs:</p><p>Thank you for your note concerning the Directory of Educational Opportunities. Could you send copies to: XXXXXXXXXXXXX, Principal</p><p>Washington High School,</p><p>Atlanta, Georgia.</p><p>[The following is the content of the bottom of the letterhead:]</p><p>Dr. Edmund C. Martin, Exec. Dir / Dr. Charles E. Hopkins, Assoc. Dir. / C. William Norman, Jr., Research Asst. / Miss Cherie Murdock, Secy. / Tel. 404-523=8385</p><p>[Seal of the State of Georgia:]</p><p>Inner circle: [image:] Three pillars supporting an arch, underneath which stands a soldier with musket and bayonet. The text on the arch reads: CONSTITUTION, while the banners wrapped around the pillars read, left to right: WISDOM, JUSTICE, MODERATION.</p><p>Outer circle: STATE OF GEORGIA 1776</p><p>[end of seal description]</p><p>APPOINTED MEMBERS [two columns:]</p><p>Joseph A. Whittle</p><p>Chairman</p><p>Charles O. Smith, Jr.</p><p>Vice-Chairman</p><p>Paul C. Broun</p><p>Clifford M. Clarke</p><p>Zack F. Daniel</p><p>Thomas T. Irvin</p><p>McGrath Keen</p><p>H. Walstein Parker</p><p>Ethridge Paulk</p><p>Lamar R. Plunkett</p><p>EX OFFICIO MEMBERS</p><p>James A. Dunlap, Chairman, Regents of the University System of Georgia</p><p>J. Battie Hall, Chairman, Senate Education Committee</p><p>George L. Simpson, Jr., Chancellor, University System of Georgia</p><p>Quimby Melton, Jr., Chairman, House of Representatives Education Committee</p><p>James S. Peters, Chairman, State Board of Education</p><p>Jack P. Nix, State Superintendent of Schools</p><p>Thanks to FromThePage transcription contributors: Princess1 Carlos Perez Sarah Ahmad</p>"
PJB 1526,"<p>P.O. Box 66<br/>Mary Holmes College<br/>West Point, Miss.</p><p>Dear Mr. Bonds,</p><p>The Young Democrats of Clay County would like to have you at Mary Holmes College, West Point, Mississippi as a guest speaker.</p><p>We request a date as early as possibly at your convenience.</p><p>As President, I extend their appreciation and gratitude for your consideration.</p><p>Cordially yours</p><p>Mae E. Nunley<br/>President, Young Democrats</p>                       <p>Dear -----:</p><p>Many thanks for your kind letter. Please excuse my lateness in replying.</p><p>Can you suggest a date? I am free on most weekends until the middle of March when the legislature convenes. After about March 15th, nearly any day of the week would fit my schedule.</p><p>I hope you can make some suggestions to me.</p><p>Sincerely</p><p>Thanks to FromThePage transcription contributors: Carlos Perez TeeTwoThree</p>"
887,"<p>March 9, 1967</p><p>Savannah, Georgia</p><p>Dear Sir:</p><p>My name is Maggie Gray.  I'm a sophomore at Tompkins Sophronia High School.  In our class we are studying about State Government and I would like to know some of the problems that Georgia faces today.  I would appreciate it if you would send me a copy of the Constitution of Georgia.  Thank you very much.</p><p>Sincerely yours,</p><p>Maggie Gray</p><p>P.S.  Would you please address it to;</p><p>Miss Maggie Gray</p><p>612-B West Cape Street</p><p>Savannah, Georgia</p><p>Thank you.</p><p><sup>(Send constitution)</sup></p><p>Thanks to FromThePage transcription contributors: Greg14 Sarah Ahmad</p>"
PJB807,"<p>66 Union Avenue<br/>Schenectady, N.Y.  12308<br/>February 1, 1967</p><p>Julian Bond<br/>The Georgia Assembly<br/>Atlanta, Georgia</p><p>Dear Mr. Bond:</p><p>Congratulations on having won, how-many-times-over is it now? As representatives of the Capital District Friends of SNCC in upstate New York, we hope that you are now in a better position to consider our invitation to speak in Schenectady sometime this spring, or sooner. As we said in our letter of October 12, 1966, we want someone closely connected with the civil rights scene to help us and our friends and neighbors understand what directions we can now take, and where our efforts can most fruitfully be applied.</p><p>As Friends of SNCC, of course we want to raise money, and we would like those we have invited to speak provide an occasion to do so; we also feel that they can have a long-run effect on people's attitudes and purse-strings. But really more significant is our increasing feeling that we must do more than just raise money. But as political amateurs we do not know our own strengths and weaknesses, and we are not sure just what steps to take to change our own community. It's always easier to give money to someone else somewhere else. So we need advice and general direction, and encouragement.</p><p>Please help us.</p><p>Sincerely,</p><p>(Signature of Malcolm Willison)</p><p>Malcolm Willison<br/>for the Speakers Committee<br/>of the Capital District Friends of SNCC</p><p>Thanks to FromThePage transcription contributors: lbaker TeeTwoThree Emily Hemlinger</p>"
PJB 1500,"<p>The National Association of Negro Business and Professional Women's Club, Inc.</p><p>Youngstown, Ohio</p><p>January 14, 1968</p><p>Mr. Julian Bond<br/>Atlanta, Georgia</p><p>Dear Sir:</p><p>After discussing several possible speakers for our annual Founders Day-Awards Program it was agreed that you were the one we would prefer. After having Senator Leroy Johnson here, we're sure it would be difficult to equal his appeal. We are still getting comments on his great speech and hope that you can arrange to come on April 27th or May 4th, both Saturdays.</p><p>Please favor us with an immediate answer stating the total cost required, and if you can accommodate us, please also include a biographical sketch and a couple black and white photos or snap shots for use in publicity.</p><p>I enclose a stamped, self-addressed envelope for your use in replying as soon as possible. I spoke with Mrs. Leroy Johnson on the phone Saturday evening and she said she would relay my message to you, so you see how anxious we are to make contact with you.</p><p>I am looking forward to meeting you soon...April 27th or May 4th. Thank you kindly.</p><p>Most sincerely,<br/>[signed Margaret Linton]<br/>1730 Glenwood Avenue<br/>Youngstown, Ohio  44511<br/>216-746-0632</p>                       <p>Dear Mrs. Linton:</p><p>Many thanks for your kind letter. Both Senator and Mrs Johnson have spoken to me of you.</p><p>The May 4th date would be the best one for me.</p><p>I would require round-trip air transportation, overnight hotel accomodations, and a fee of $250.00.</p><p>I hope these terms are acceptable to your group, and look forward to hearing from you shortly.</p><p>Sincerely,</p><p>Thanks to FromThePage transcription contributors: Carlos Perez TeeTwoThree</p>"
867,"<p>328P EST Feb 21 67 AB253 CTE300<br/>CT AKA400 PD 5 EX Akron Ohio 21 317P EST<br/>Julian Bond, State Repr<br/>Georgia State Legislature State Capitol ATLA</p><p>Would like for you to speak in Ohio for Akron Branch NAACP<br/>as soon as possible please reply as soon as possible with two<br/>tentative dates we will confirm as soon as we hear from you<br/>expenses will be paid please reply by telegram</p><p>Mrs Marguerite Nash program chairman Akron Banch NAACP 754<br/>Rhodes Ave<br/>(20).</p>                       <p>1967 Feb 21 PM 3 38<br/>C- 27313</p><p>Thanks to FromThePage transcription contributors: lbaker jamesw Sarah Ahmad</p>"
PJB 996,"<p>WORLD PRESS INSTITUTE</p><p>Macalester College</p><p>Saint Paul, Minnesota 55101</p><p>May 9, 1967</p><p>The Honorable Julian Bond</p><p>Senator</p><p>360 Nelson Street S.W.</p><p>Atlanta, Georgia</p><p>Dear Senator Bond:</p><p>We are now making final plans for the June 22-25, visit to Atlanta by fifteen foreign journalists participating in the World Press Institute.</p><p>Earlier Michael Johnson wrote you concerning the journalists' visit.  Mr. Johnson is leaving the World Press Institute, and so I am taking a leave of absence from my work as labor reporter on the <u>Minneapolis</u> <u>Tribune</u> to travel with the group.</p><p>Our Atlanta schedule appears fairly open the afternoon of Friday, June 23, and all day Saturday and Sunday, June 24-25.  Would there be any time during those periods when we might meet with you?</p><p>We hope to hear from you soon regarding this matter.  Thank you for any assistance you can provide the foreign journalists.</p><p>Sincerely,</p><p>Mark Wyman</p><p>Assistant Director</p><p>MW:rs</p><p><sup>Thanks for your letter.  <strike>Saturday</strike><sup>Friday</sup> afternoon would be fine with me</sup></p><p>Thanks to FromThePage transcription contributors: Carlos Perez Greg14</p>"
PJB785,"<p>AFSC<br/>50 Years<br/>To See What Love Can Do</p><p>February 10, 1967</p><p>Julian Bond<br/>823 Drummond Street, SW<br/>Atlanta, Georgia  30314</p><p>Dear Julian Bond:</p><p>Plans are going forward for the Travelling Conference on the Draft, March 3, 4 and 5 and we are getting ready to announce and publicize the conferences on the three local campuses. The news that you are taking part is greeted everywhere with enthusiasm, there is a real interest among students to come out and hear you.</p><p>So far the line-up of pro--draft spokesmen isn't definite - we are trying for representatives from Selective Service and the Department of Defense at the regional or national level. A local man who is on the President's Commission on Selective Service has been asked. We are inviting Don Duncan. We have an acceptance from Terry Cullinan of the Stanford Research Institute, who favors universal national service.</p><p>Local committees are making the plans for each day of the conference. At San Francisco State, Friday March 3, we begin at 12 noon with the large meeting in the Main Auditorium and run until 5 p.m. That evening is open. The meeting at U. C. Berkeley on Saturday, March 4 is from 10:00 a.m. to 5:00 p.m. The final day, Sunday the 5th will be at Stanford in the afternoon and evening, exact times still under discussion.</p><p>Please let me know when and how you are arriving and your expected length of stay so that we can meet your plane and make hotel reservations.</p><p>Sincerely,</p><p>Marshall Palley<br/>College Program Director</p><p>MP/cm</p><p>American Friends Service Committee Incorporated</p><p>Thanks to FromThePage transcription contributors: Jannyp Emily Hemlinger TeeTwoThree</p>"
PJB786,"<p>AMERICAN FRIENDS SERVICE COMMITTEE, Incorporated<br/>Northern California Regional Office<br/>2160 Lake Street<br/>San Francisco, California 94121<br/>Phone  752-7766</p><p>December 9, 1966</p><p>Julian Bond<br/>823 Drummond Street South West<br/>Atlanta, Georgia</p><p>Dear Julian Bond</p><p>The AFSC College Program is planning a weekend of conferences on draft-law revision to be held successively at three Bay Area campuses on a Friday, Saturday and Sunday in February of 1967. These conferences will be held in cooperation with the student government organizations at the University of California in Berkeley, Stanford, and San Francisco State.</p><p>I would like to invite you to participate in these meetings on behalf of the sponsoring groups. At this point we have not fixed the exact weekend, and we are offering the first few speakers to be invited (yourself, Senator Ted Kennedy and Professor Milton Friedman of the University of Chicago) the possibility of the weekends beginning February 11, 18, 25 or March 4. In general, we hope to have spokesmen for several main positions on the draft--lottery, national service, voluntary army, universal military training.</p><p>I hope that you will be able to participate in these meetings. We can offer you all your transportation and travelling expenses. At this time we are not in a position to assure you of an honorarium, but can try to meet your needs, if you will tell us what they are. If you can consider attending, may we have your indication as to which of the available weekends you can schedule and the general nature of the position you would like to take--what's on your mind in connection with the draft. If you would like also to meet with groups in the Negro community we will be glad to leave some time for this to occur.</p><p>Congratulations on your recent Supreme Court victory--I hope your duties as a legislator won't prevent your attendance at our meetings here.</p><p>Cordially,</p><p>Marshall Palley<br/>College Program Director</p><p>MP/mjb</p><p>Regional Office for Northern California, Nevada and Utah</p><p>Thanks to FromThePage transcription contributors: Jannyp Emily Hemlinger TeeTwoThree</p>"
