PJB ID,Document Body
PJB 1804,"<p>The Producer<br/>Front Page Challenge<br/>The Canadian Broadcasting Company<br/>Box 500<br/>Terminal A<br/>Tornoto, Canada</p><p>Gentlemen:</p><p>The hotel where I stayed while in Toronto has sent me the enclosed bill.</p><p>I am forwarding it to you.</p><p>Sincerely,</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 2451,"<p>""The representatives of the Christian church, in conflicts<br/>with every giant wrong, have always been the strongest<br/>supporters, the most obsequious tools of money power and<br/>the political sharpers who have imposed their vile tyrannies<br/>upon mankind . . . . ""</p><p>T. Thomas Fortune, 1884.</p><p>Fortune was born a slave; later became editor of the <br/><u>New York Age.</u></p><p>nb</p><p>Thanks to FromThePage transcription contributors: DAHaraldson Carlos Perez</p>"
PJB 1812,<p>Bond is also a member of the Board of the Highlander Research &amp; Education Center.</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>
PJB 1534,"<p>[State of Georgia seal]</p><p>House of Representatives<br/>Atlanta</p><p>January 25, 1968</p><p>TO:  Rep. Cates<br/>Rep. Daugherty<br/>Rep. Hill<br/>Rep. Lambros</p><p>FROM:  Ben Brown and Julian Bond</p><p>Enclosed is a copy of a bill which was distributed to members of the Delegation this morning at the meeting. We wanted you to have a copy of this measure for your information and consideration.</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1574,"<p>February 7, 1968</p><p>Mr. T. J. Curry<br/>President<br/>Westside Voters League<br/>968 Lena Street, N. W.<br/>Atlanta, Georgia</p><p>Dear Mr. Curry:</p><p>We were surprised to learn from reading Sunday's edition of the <u>Atlanta Daily World</u> that we have been invited to attend a meeting of the Westside Voter's League on Thursday, February 8th. Neither of us has received an invitation and it is a surprise to learn of the meeting and our invitation through a newspaper. We hope, however, that if our measure is discussed in your meeting that your deliberations will not be guided by the misinformation contained in an editorial in Sunday's <u>Atlanta Daily World</u>.</p><p>The editorial mistakenly states that our bill deals with the Board of Education; it does not.</p><p>The editorial mistakenly says that our bill would lead to corrupt politics; it would not.</p><p>The editorial mistakenly says that our bill would make it difficult for Negroes to exercise restraint over the Board of Aldermen; this is not so.</p><p>The editorial states that we should contact leaders of the Negro community before proceeding further with our bill; we have done so, and until Sunday's <u>Atlanta Daily World</u> appeared, we received unanimous support for this bill from the Negro community.</p>                       <p>-2-</p><p>Under our bill, the Negro community will exercise the same control as it does today over eight members of the Board of Aldermen and the President of the Board, all of whom will continue to be elected city-wide.</p><p>What our bill will do is to provide that half of the members of the board will be elected by voters in the wards from which they qualify.</p><p>This would mean that Negro voters in the 3rd, 4th, 7th, 1st and 6th wards could elect a Negro alderman, and that voters in every ward could be assured that their alderman would be responsible to them. Presently, there are members of the Board of Aldermen serving today who lost in their wards, but were elected by voters in other wards in the city.</p><p>Finally, there are enough Negro voters in all but two of the wards to insure that any candidate, white or Negro, elected ward-wide or city-wide, could be elected without having to appeal to Negro voters.</p><p>The Board of Education elections referred to are covered in another bill, introduced by Rep. John Hood.</p><p>Sincerely,</p><p>Rep. Ben Brown of the 135th District</p><p>Rep. Julian Bond of the 136th District</p><p>BB:JB:lcm</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1426,"<p>November 6, 1967</p><p>Mrs. Helen Howard<br/>558 Magnolia Street<br/>Atlanta, Georgia</p><p>Dear Mrs. Howard:</p><p>Just a quick note to say that I am still working on the idea for the Information Center I mentioned before. The idea is nearly the same as the one Mrs. Paschal had a year or so ago; as I said, she was never able to get any money for it. I am trying to find enough money to:</p><p>open up two center in Atlanta,<br/>hire two full-time people (neighborhood residents)<br/>for each center, and<br/>keep each one going for at least two years.</p><p>The clinic you have would be an ideal place for one of these, since you are well known in that community and people come there for other services already. I would hope that if these centers did get started, people who used them would see the need for other action as well, like political action aimed at getting better representation on all levels. The centers--if they worked correctly--would bring people to a place where you would talk to them about other forms of activity while you helped solve some of their problems.</p><p>Incidentally, did you ever think of asking the National Medical Association, the national association of Negro doctors, for help with your clinic? They might be able to supply some money, and so could the Medical Committee for Human Rights, a national organization that has sent doctors and nurses South to give free medical advice to poor people and people in the movement. I could contact both groups if you would let me know what you need.</p><p>At any rate I'll keep in touch.</p><p>Sincerely,</p><p>Julian Bond</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 1437,"<p>November 14, 1967</p><p>Mr. Ray McIver<br/>Carver Vocational High School<br/>1275 Capitol Avenue, S. W.<br/>Atlanta, GA  30315</p><p>Dear Ray:</p><p>I hope you will over my belated thanks to all of your students whose nice letters I received several weeks ago.</p><p>Please offer them all my best wishes.</p><p>Sincerely,</p><p>Julian Bond</p><p>JB:jc</p><p>Thanks to FromThePage transcription contributors: Carlos Perez esh999</p>"
PJB 1663,"<p>Julian Bond<br/>Representative, District 136<br/>162 Eurahlee Street, S.W.<br/>Atlanta, Georgia 30314</p><p>Committees</p><p>EDUCATION<br/>Transportation<br/>INSURANCE<br/>Surety &amp; Title<br/>STATE INSTITUTIONS &amp; PROPERTY</p><p>[State of Georgia seal]</p><p>The House of Representatives<br/>Atlanta, Georgia<br/>March 22, 1968</p><p>Dear Friends:</p><p>This is another issue of my newsletter. We hope this will give you some idea of what I have been doing, and that you will try to let me know what you want done. If you know others in your neighborhood who would like to receive this newsletter, please send me their names and addresses.</p><p>* * * * * * *</p><p>We are still concerned about city services - street paving, garbage collection, street lights - and so on. If you have any complaints in this direction, please let me know.</p><p>* * * * * * *</p><p>I have asked Governor Maddox to veto a very bad bill the legislature passed this year. This bill will let the state of Georgia sue to collect money paid to people on welfare after they die. In other words, if someone has been on welfare for 10 years and buys a small house, when he dies, the state will be able to sue to get the house to sell it. I think this is one of the worse things the legislature has ever done, and I hope the Governor will veto the bill.</p><p>Also, I am concerned about the Atlanta Housing Authority. As you may know, the Negro legislators tried to make some changes in the Housing Authority, but could not. They have been holding secret meetings--a policy which I feel is not appropriate for public organizations. After five months of delay, however, the Authority has agreed to an ""open door"", first-come-first-serve policy in housing project admissions.</p><p>* * * * * * *</p>                       <p>Now that the legislative session is over, I want to give you some idea of what the legislature did and what bills I supported and which ones I tried to defeat.</p><p>All of us, of course, were vitally interested in passing House Bill 1592 that would have split the 3rd Ward and could have provided our community with two new Negro aldermen and a Negro member of the Board of Education. The city aldermen fought this bill and ex-Mayor Hartsfield managed to persuade some of the Fulton County Senators not to support it. It failed by one vote in the Senate.</p><p>I was also disappointed that my bill, House Bill 1616 (introduced with Rep. Ben Brown) to require that half of the aldermen run from their wards instead of city-wide was defeated. The city fought this bill, too. If it had passed, Negroes in five of the city's wards could have elected Negro aldermen.</p><p>I supported House Bill 1587 to increase the powers of the Mayor, which was also defeated; I supported House Bill 1079 to outlaw discrimination in state employment; House Bill 1095 to abolish capital punishment in Georgia; House Bill 1644 which would have made it illegal to discriminate in selling or renting homes; two bills which would have provided tenure for teachers in Atlanta and the rest of the state; and Senate Bill 248 to enlarge the Atlanta Housing Authority and require that one member live in public housing.</p><p>In addition I worked to support House Bill 912 to make it illegal for a policeman to physically injure anyone when it is unnecessary; House Bill 861 to increase workmen's compensation and House Bill 926 to increase unemployment compensation; a bill that increases the number of days before a tenant can be evicted; a bill to require that all seventh grade students have tests for contagious diseases; a bill to provide equal pay for equal jobs performed by men and women; a bill to require that election officials post a large sign outside polling places; a bill to allow dispossessed tenants to have their furniture placed in storage; a bill requiring that a minimum wage of $1.60 be paid to all workers; a bill to allow the Fulton County Board of Elections to print sample ballots; and some others. Sadly, the best of these bills did not pass. I hope next year we will have better luck.</p><p>* * * * * * *</p><p>Part of our difficulty this time was that some legislators did not wish to cooperate with us, and that the city fought us on one or two bills. Hopefully, through increased voter registration, we will be able to bring about some changes during the legislative races this summer and fall and the city elections in 1969.</p><p>Sincerely,<br/>[signed] Julian Bond<br/>Julian Bond</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Carlos Perez</p>"
PJB 762,"<p>February 8, 1967</p><p>Dr. A. E. Manley, President<br/>Spelman College<br/>Atlanta, Georgia</p><p>Dear Dr. Manley:</p><p>I am enclosing a copy of a letter to Mr. Edwin L. Swain about the job listings for openings under the State Merit System.</p><p>I hope you can urge your placement officer to get qualified students to follow up on some of the job opportunities they will be receiving.</p><p>Sincerely,</p><p>Julian Bond<br/>Representative, District 136</p><p>JB:mlj</p><p>Enclosure</p><p>Thanks to FromThePage transcription contributors: TeeTwoThree Emily Hemlinger</p>"
PJB 2447,"<p>office at 361 Lee Street SW</p><p>June 3, 1969</p><p>Dear Al,</p><p>What is happening?<br/>We need to do something, and the something we need to <br/>do is organize.</p><p>Everyplace I go,<br/>Kennedy-McCarthy Democrats are organized and taking over.</p><p>What ever happened to<br/>Geroge Walsh's letter?  Let's get together soon and do<br/>something!</p><p>Sincerely,</p><p>Julian Bond</p><p>Al Hor, Equire<br/>Attorney at Law<br/>The Candler Building<br/>Atlanta, Georgia 30303</p><p>n</p><p>Thanks to FromThePage transcription contributors: DAHaraldson Carlos Perez</p>"
