,ID,Title,City,Year,lat,lng,url
6,610,"Speech delivered to the ladies of Delta [Sigma Theta Sorority?], Atlanta, Georgia, ca. 1970","Atlanta, Georgia",1970,33.7628,-84.422,http://bondpapersproject.org/node/610
7,594,"Working Outline for Julian Bond for a proposed speech in Atlanta, Georgia, written by Kelly Kidd, 1970 December 4","Atlanta, Georgia",1970,33.7628,-84.422,http://bondpapersproject.org/node/594
8,549,"Speech delivered to the Congress of African People, Atlanta, Georgia, no date 1970?","Atlanta, Georgia",1970,33.7628,-84.422,http://bondpapersproject.org/node/549
15,470,"Speech given at the Philadelphia Bar Association's Friday luncheon of the Bench-Bar Conference in Atlantic City, New Jersey on Black Americans and Marginal Citizenship, 1970 September","Atlantic City, New Jersey",1970,39.3797,-74.4527,http://bondpapersproject.org/node/470
16,442,"Commencement Address at Morgan State University, Baltimore, Maryland 1971","Baltimore, Maryland",1971,39.3051,-76.6144,http://bondpapersproject.org/node/442
17,448,"Speech concerning Atlanta, Georgia and stability, [1971] (Doc 1 of 3)","Atlanta, Georgia",1971,33.7628,-84.422,http://bondpapersproject.org/node/448
18,449,"Speech concerning Atlanta, Georgia and stability, [1971] (Doc 2 of 3)","Atlanta, Georgia",1971,33.7628,-84.422,http://bondpapersproject.org/node/449
19,450,"Speech concerning Atlanta, Georgia and stability, [1971] (Doc 3 of 3)","Atlanta, Georgia",1971,33.7628,-84.422,http://bondpapersproject.org/node/450
76,213,"Speech concerning opposition to the War in Southeast Asia, at the Angela Davis Rally, Miles College, Birmingham, Alabama, 1971 March 19 (Doc 1 of 2)","Birmingham, Alabama",1971,33.5279,-86.7971,http://bondpapersproject.org/node/213
77,214,"Speech concerning opposition to the War in Southeast Asia, at the Angela Davis Rally, Miles College, Birmingham, Alabama, 1971 March 19 (Doc 2 of 2)","Birmingham, Alabama",1971,33.5279,-86.7971,http://bondpapersproject.org/node/214
0,663,"Speech about the upcoming presidential election, in [New Orleans, Louisiana?], 1972 October 5 (Doc 3 of 4)","New Orleans, Louisiana",1972,30.0687,-89.9288,http://bondpapersproject.org/node/663
1,662,"(Draft) Speech about the upcoming presidential election, in [New Orleans, Louisiana?], 1972 October 5 (Doc 2 of 4)","New Orleans, Louisiana",1972,30.0687,-89.9288,http://bondpapersproject.org/node/662
2,661,"(Draft) Speech about the upcoming presidential election, in [New Orleans, Louisiana?], 1972 October 5 (Doc 1 of 4)","New Orleans, Louisiana",1972,30.0687,-89.9288,http://bondpapersproject.org/node/661
3,618,"Speech about the roles of black students in addressing the multiplicity of afflictions affecting the black community, Morehouse College, Atlanta, Georgia, 1972 March 9","Atlanta, Georgia",1972,33.7628,-84.422,http://bondpapersproject.org/node/618
4,613,"Speech concerning political action, black people in Florida and the Presidential Primary elections, at Sanford, Florida, 1972 January 4 (Doc 2 of 2)","Sanford, Florida",1972,28.7891,-81.2757,http://bondpapersproject.org/node/613
5,612,"Speech concerning political action, black people in Florida and the Presidential Primary elections, at Sanford, Florida, 1972 January 4 (Doc 1 of 2)","Sanford, Florida",1972,28.7891,-81.2757,http://bondpapersproject.org/node/612
86,127,"Speech at National Urban League, St. Louis, Missouri, August 2 1972","St. Louis, Missouri",1972,38.6359,-90.2451,http://bondpapersproject.org/node/127
87,128,"Written Draft, Speech at National Urban League, St. Louis, Missouri, August 2 1972","St. Louis, Missouri",1972,38.6359,-90.2451,http://bondpapersproject.org/node/128
88,118,"Speech concerning the 1972 Presidential Election and what it meant for the voters, Chicago, Illinois, 1973 November 15","Chicago, Illinois",1972,41.8375,-87.6866,http://bondpapersproject.org/node/118
91,95,"Testimony before the Commission on Delegate Selection and Party Structure, Atlanta, Georgia, 1973 July 20 (1 of 3)","Atlanta, Georgia",1973,33.7628,-84.422,http://bondpapersproject.org/node/95
92,96,"Testimony before the Commission on Delegate Selection and Party Structure, Atlanta, Georgia, 1973 July 20 (2 of 3)","Atlanta, Georgia",1973,33.7628,-84.422,http://bondpapersproject.org/node/96
93,97,"Testimony before the Commission on Delegate Selection and Party Structure, Atlanta, Georgia, 1973 July 20 (3 of 3)","Atlanta, Georgia",1973,33.7628,-84.422,http://bondpapersproject.org/node/97
89,89,"Speech at the National Urban League Meeting, Kansas City, Missouri, 1974 March 29 (1 of 2)","Kansas City, Missouri",1974,39.1238,-94.5541,http://bondpapersproject.org/node/89
90,90,"Speech at the National Urban League Meeting, Kansas City, Missouri, 1974 March 29 (2 of 2)","Kansas City, Missouri",1974,39.1238,-94.5541,http://bondpapersproject.org/node/90
78,166,"Speech concerning black gains as a family affair, Los Angeles, California, 1975 November 18","Los Angeles, California",1975,34.1141,-118.4068,http://bondpapersproject.org/node/166
79,157,"Remarks prepared for Morehouse College Alumni Association Meeting, Cleveland, Ohio, 1975 August 30 (1 of 3)","Cleveland, Ohio",1975,41.4764,-81.6805,http://bondpapersproject.org/node/157
80,158,"Remarks prepared for Morehouse College Alumni Association Meeting, Cleveland, Ohio, 1975 August 30 (2 of 3)","Cleveland, Ohio",1975,41.4764,-81.6805,http://bondpapersproject.org/node/158
81,159,"Remarks prepared for Morehouse College Alumni Association Meeting, Cleveland, Ohio, 1975 August 30 (3 of 3)","Cleveland, Ohio",1975,41.4764,-81.6805,http://bondpapersproject.org/node/159
82,160,"Speech for Project Media, Jackson, Mississippi, 1975 September 19 (1 of 2)","Jackson, Mississippi",1975,32.3157,-90.2125,http://bondpapersproject.org/node/160
83,161,"Speech for Project Media, Jackson, Mississippi, 1975 September 19 (2 of 2)","Jackson, Mississippi",1975,32.3157,-90.2125,http://bondpapersproject.org/node/161
84,152,"Remarks prepared for The National Council of Black Child Development, Atlanta, Georgia, 1975 June 26 (1 of 3)","Atlanta, Georgia",1975,33.7628,-84.422,http://bondpapersproject.org/node/152
85,153,"(Draft) Remarks prepared for The National Council of Black Child Development, Atlanta, Georgia, 1975 June 26 (2 of 3)","Atlanta, Georgia",1975,33.7628,-84.422,http://bondpapersproject.org/node/153
38,322,"Speech at the Hungry Club Forum, Atlanta, Georgia, on what the elections mean for Americans, 1976 November 3 (1 of 2)","Atlanta, Georgia",1976,33.7628,-84.422,http://bondpapersproject.org/node/322
39,323,"Speech at the Hungry Club Forum, Atlanta, Georgia, on what the elections mean for Americans, 1976 November 3 (2 of 2)","Atlanta, Georgia",1976,33.7628,-84.422,http://bondpapersproject.org/node/323
40,325,"Remarks prepared for The Stadium Club and the West End Rotary Club, Atlanta, Georgia, concerning the future of South Africa, 1976 December 10 (1 of 4)","Atlanta, Georgia",1976,33.7628,-84.422,http://bondpapersproject.org/node/325
41,326,"Remarks prepared for The Stadium Club and the West End Rotary Club, Atlanta, Georgia, concerning the future of South Africa, 1976 December 10 (2 of 4)","Atlanta, Georgia",1976,33.7628,-84.422,http://bondpapersproject.org/node/326
42,327,"(Handwritten Draft) Remarks prepared for The Stadium Club and the West End Rotary Club, Atlanta, Georgia, concerning the future of South Africa, 1976 December 10 (3 of 4)","Atlanta, Georgia",1976,33.7628,-84.422,http://bondpapersproject.org/node/327
43,329,"Remarks prepared for delivery at the Marriott Motor Hotel, Los Angeles, California, concerning the Meharry Medical College, Nashville, Tennessee, 1976 December 11","Los Angeles, California",1976,34.1141,-118.4068,http://bondpapersproject.org/node/329
50,311,"Speech prepared for Black Democrats Conference, Charlotte, North Carolina-- ""A Last-Minute Strategy for Black Democrats"", 1976 April (1 of 3)","Charlotte, North Carolina",1976,35.2083,-80.8303,http://bondpapersproject.org/node/311
51,312,"Speech prepared for Black Democrats Conference, Charlotte, North Carolina-- ""A Last-Minute Strategy for Black Democrats"", 1976 April (2 of 3)","Charlotte, North Carolina",1976,35.2083,-80.8303,http://bondpapersproject.org/node/312
44,302,"Remarks prepared for delivery at the 35th Georgia NAACP Convention, Macon Hilton, Macon, Georgia, concerning the future of black Georgians, 1977 November 12","Macon, Georgia",1977,32.8065,-83.6974,http://bondpapersproject.org/node/302
45,303,"Speech concerning the debate over the Supreme Court case Bakke v Regents and affirmative action, given at Paschal's Motor Hotel, Atlanta, Georgia, 1977 November 29 (1 of 5)","Atlanta, Georgia",1977,33.7628,-84.422,http://bondpapersproject.org/node/303
46,304,"Speech concerning the debate over the Supreme Court case Bakke v Regents and affirmative action, given at Paschal's Motor Hotel, Atlanta, Georgia, 1977 November 29 (2 of 5)","Atlanta, Georgia",1977,33.7628,-84.422,http://bondpapersproject.org/node/304
47,305,"Speech concerning the debate over the Supreme Court case Bakke v Regents and affirmative action, given at Paschal's Motor Hotel, Atlanta, Georgia, 1977 November 29 (3 of 5)","Atlanta, Georgia",1977,33.7628,-84.422,http://bondpapersproject.org/node/305
48,306,"Speech Filed with Versions of Speech concerning the debate over the Supreme Court case Bakke v Regents and affirmative action, given at Paschal's Motor Hotel, Atlanta, Georgia, 1977 November 29 (4 of 5)","Atlanta, Georgia",1977,33.7628,-84.422,http://bondpapersproject.org/node/306
49,307,"Speech concerning the debate over the Supreme Court case Bakke v Regents and affirmative action, given at Paschal's Motor Hotel, Atlanta, Georgia, 1977 November 29 (5 of 5)","Atlanta, Georgia",1977,33.7628,-84.422,http://bondpapersproject.org/node/307
54,294,"(Draft) Remarks prepared for the Annual Banquet, Laymen's Department, the Progressive National Baptist Convention, Inc., at the Peachtree Plaza Hotel, Atlanta, Georgia, 1977 August 9 (1 of 3)","Atlanta, Georgia",1977,33.7628,-84.422,http://bondpapersproject.org/node/294
55,295,"Remarks prepared for the Annual Banquet, Laymen's Department, the Progressive National Baptist Convention, Inc., at the Peachtree Plaza Hotel, Atlanta, Georgia, 1977 August 9 (2 of 3)","Atlanta, Georgia",1977,33.7628,-84.422,http://bondpapersproject.org/node/295
57,297,"Remarks prepared for the National Student's Association, Houston, Texas, concerning the impact of student involvement, 1977 August 15 (1 of 2)","Houston, Texas",1977,29.786,-95.3885,http://bondpapersproject.org/node/297
58,298,"(Draft) Remarks prepared for the National Student's Association, Houston, Texas, concerning the impact of student involvement, 1977 August 15 (2 of 2)","Houston, Texas",1977,29.786,-95.3885,http://bondpapersproject.org/node/298
59,299,"Press release for: Remarks prepared for the National Student's Association, Houston, Texas, concerning the impact of student involvement, 1977 August 15","Houston, Texas",1977,29.786,-95.3885,http://bondpapersproject.org/node/299
63,270,"Speech concerning the challenges facing black attorneys presented to the Black American Law Students Association (BALSA), Duquesne Chapter, Pittsburgh, Pennsylvania, 1977 May 27 (1 of 2)","Pittsburgh, Pennsylvania",1977,40.4397,-79.9763,http://bondpapersproject.org/node/270
